Generic name,Dose,Safe dose,Geriatric dose,Class,Most common use,Mechanism of action,Adverse reactions,Contraindications,Nursing implications,Patient teaching
Simethicone tab chew (Ovol),,"Gas retention: Oral: Usual dose: 40 to 125 mg 4 times daily as needed after meals and at bedtime; may administer single doses of up to 160 to 500 mg after meals or at bedtime, not to exceed a maximum daily dose of 500 mg/day",,Antiflatulent,"Gas retention: Relief of pressure, bloating, fullness, and discomfort of gastrointestinal gas.",Decreases the surface tension of gas bubbles thereby disperses and prevents gas pockets in the GI system,n/a,Hypersensitivity to simethicone or any component of the formulation,,
sodium citrate,3mL,,,anticoagulant,for granulocytapheresis,"citrate ions induce anticoagulation by chelating free ionized calcium, making it unavailable for use by coagulation system","cardiac aryhtmia, chest pressure, hypotension
CNS: chills paresthisa
GI: stomahc cramps",NO DIRECT IV,,
Sodium phosphate fleet enema,,"Acute treatment of hypophosphatemia: IV: It is difficult to provide concrete guidelines for the treatment of severe hypophosphatemia because the extent of total body deficits and response to therapy are difficult to predict. Aggressive doses of phosphate may result in a transient serum elevation followed by redistribution into intracellular compartments or bone tissue. It is recommended that repletion of severe hypophosphatemia be done IV because large doses of oral phosphate may cause diarrhea and intestinal absorption may be unreliable. Intermittent IV infusion should be reserved for severe depletion situations; requires continuous cardiac monitoring. Guidelines differ based on degree of illness, need/use of TPN, and severity of hypophosphatemia. If hypokalemia exists (some clinicians recommend threshold of <4 mmol/L), consider phosphate replacement strategy with potassium (eg, potassium phosphates). Obese patients and/or severe renal impairment were excluded from phosphate supplement trials. Note: 1 mmol phosphate = 31 mg phosphorus; 1 mg phosphorus = 0.032 mmol phosphate.

Critically ill adult patients receiving concurrent enteral/parenteral nutrition (Brown 2006; Clark 1995): Note: Round doses to the nearest 7.5 mmol for ease of preparation. If administering with phosphate-containing parenteral nutrition, do not exceed 15 mmol/L within parenteral nutrition. May use adjusted body weight for patients weighing >130% of ideal body weight (and BMI <40 kg/m2) by using [IBW + 0.25 (ABW-IBW)]:

Low dose, serum phosphorus level 2.3 to 3 mg/dL (0.74 to 0.96 mmol/L): 0.16 to 0.32 mmol/kg over 4 to 6 hours

Intermediate dose, serum phosphorus level 1.6 to 2.2 mg/dL (0.51 to 0.71 mmol/L): 0.32 to 0.64 mmol/kg over 4 to 6 hours

High dose, serum phosphorus <1.5 mg/dL (<0.5 mmol/L): 0.64 to 1 mmol/kg over 8 to 12 hours",,"Cathartic; Electrolyte Supplement, Parenteral; Laxative, Bowel Evacuant","Oral solution, rectal: Short-term treatment of constipation

Oral tablets: Bowel cleansing prior to colonoscopy

IV: Source of phosphate in large volume IV fluids and parenteral nutrition; treatment and prevention of hypophosphatemia","As a laxative, exerts osmotic effect in the small intestine by drawing water into the lumen of the gut, producing distention and promoting peristalsis and evacuation of the bowel; phosphorous participates in bone deposition, calcium metabolism, utilization of B complex vitamins, and as a buffer in acid-base equilibrium","Gastrointestinal: Bloating (31%), nausea (26%), abdominal pain (23%)

Endocrine & metabolic: Hyperphosphatemia (≤96%), hypokalemia (on colonoscopy day; 18% to 22%)","Hypersensitivity to sodium phosphate salts or any component of the formulation; additional contraindications vary by product:

Intravenous preparation: Diseases with hyperphosphatemia, hypocalcemia, or hypernatremia

Tablets: Acute phosphate nephropathy, bowel obstruction, bowel perforation, gastric bypass or stapling surgery, toxic colitis, toxic megacolon

OTC labeling (Oral Solution): When used for self-medication: Dehydration, heart failure, renal impairment, electrolyte abnormalities; use for bowel cleansing, use in children <5 years of age",,
spironolactone,100mg,"100mg once daily, max dose 400mg",,"antiHTN, diuretic, potassium sparing, mineralocorticoid receptor antagonist","ascites due to cirrhosis, heart failure with reduced ejection fraction, HTN, primary hyperaldosteronism (tab only)","competes with aldosterone for receptor sites on distal renal tubules, increasing Na Cl and water secretion, conserves K and H+, may block aldosterone effect on arteriolar smooth muscle","gynecomastia (decreased androgen production)
 hyperkalemia","hyperkalemia, Addison disease, anuria, acute renal insufficiency, concomitant use with heparin or LMWH","diuretic effect may be delayed 2-3 days, monitor electrolytes while giving. assess fluid status and monitor for CNS changes, rash",
sucralfate,,"Duodenal ulcer: Oral:

Active duodenal ulcer: Suspension, tablet: Initial: 1 g 4 times daily for 4 to 8 weeks.

Maintenance therapy: Tablet: 1 g twice daily.",,"Gastrointestinal Agent, Miscellaneous",Duodenal ulcer: Short-term (≤8 weeks) treatment of active duodenal ulcers; maintenance therapy for duodenal ulcers (tablets only),"Forms a complex by binding with positively charged proteins in exudates, forming a viscous paste-like, adhesive substance. This selectively forms a protective coating that acts locally to protect the gastric lining against peptic acid, pepsin, and bile salts.","1% to 10%: Gastrointestinal: Constipation (2%)

<1%, postmarketing, and/or case reports: Anaphylaxis, back pain, bezoar formation, bronchospasm, diarrhea, dizziness, drowsiness, dyspepsia, facial edema, flatulence, gastric distress, headache, hyperglycemia, hypersensitivity reaction, insomnia, laryngeal edema, mouth edema, nausea, pharyngeal edema, pruritus, pulmonary edema, skin rash, vertigo, vomiting, xerostomia",hypersensitivity to sucralfate or any componenet of the formulation,Teach patient proper timing of other medications. May cause constipation.,
telmisartan tab,40mg,20-40mg once daily up to 80mg,,"angiotensin II receptor blocker, antihypertensive","cardiovascular risk reduction, hypertension","Angiotensin II acts as a vasoconstrictor. In addition to causing direct vasoconstriction, angiotensin II also stimulates the release of aldosterone. Once aldosterone is released, sodium as well as water is reabsorbed. The end result is an elevation in blood pressure. Telmisartan is a nonpeptide AT1 angiotensin II receptor antagonist. This binding prevents angiotensin II from binding to the receptor thereby blocking the vasoconstriction and the aldosterone secreting effects of angiotensin II.","hypotension, chest pain, dizzinenss, dermal ulcer, diarrhea, back pain","concomitant use with aliskiren in patients with moderate to severe renal impairment (GFR<60), prepganncy, breastfeeding, hereditary conditon of fructose intoelrance or lactose intolerant patients (product specific)",Check ordered labs and report abnormalities. Monitor blood pressure. Monitor for signs of angioedema. Instruct women of child-bearing age to notify provider immediately for pregnancy.,
tinzaparin,4500units = 0.45mL,"max dose 14,000 antiXa daily for baraitric surgery",,"anticoagulant, low molecular weight heparin","anticoagaulation, DVT, PE treatment, postoperative thromboprolhylaxis","binds antithrombin III, enhancing the inhibition of several clotting factors, particularly factor Xa. Tinzaparin anti-Xa activity (70 to 120 units/mg) is greater than anti-IIa activity (~55 units/mg) and it has a higher ratio of antifactor Xa to antifactor IIa activity compared to unfractionated heparin. Low molecular weight heparins have a small effect on the activated partial thromboplastin time(measures the number of seconds it takes for a clot to form in a sample of blood after substances (reagents) are added)","increased serum ALT, chest pain, bleedding, ","active bleeding,history of immunoligcally mediated hpearin induced thrombocytopenia(HIT), uncontrolled severe hypertension. Do not give if current HIT or HIT with thrombosis.","Verify no known allergy to pork products. Check ordered labs and report any abnormalities. Obtain weight; dosing is weight based. Monitor patient for signs and symptoms of bleeding (bruising or bleeding that is not normal, changes in menstrual periods like lots of bleeding, spotting, or bleeding between cycles, nosebleeds that won’t stop, bowel movements that are red or black like tar, throwing up blood or liquid that looks like coffee grounds) and neurological impairment (midline back pain, sensory defects, motor defects, bowel dysfunction, and bladder dysfunction). Educate patients on bleeding precautions including avoiding invasive procedures, activities that could cause injuries, and how to handle bleeding emergencies. Monitor for signs and symptoms of thrombocytopenia after therapy initiation. Instruct patient on proper subcutaneous self-injection technique if applicable. Advise patient to tell all doctors and dentists about use of an anticoagulant.",
trazodone,12.5mg,25-50/day for major depression in geriatrics,,"antidepressant, serotonin reuptake inhibitor/antagonist",major depressive disorder,"inhibits reuptake of serotonin, causes adrenoreceptor subsensitiivty acts as a 5HT2a receptor antagonist and induces ignificant changes in 5-HT presynpatic receptor adrenoreceptors. Also blocks histamine and alpha1-adrenergic receptors.","activation of mania or hypomania, bleeding risk, cardiac arrhthmias, orthostatic hypotension, pripaism, serotonin syndorme, suicidal thinking, withrawal syndome","IV methlyene blue, linezolid",monitor therapeutic response,
traZODOne (Desyrel),,max 200mg,,"antidepressant , serotonin reuptake inhibitor / antagonist",depression / aggressive behaviour associated w/ dementia,inhibits reuptake of serotonin,"Activation of mania or hypomania, bleeding risk, cardaic arrhtyhmias, orthostatic hypotension, priapism, serotonin syndrome, suicidal thinking, withdrawl syndrome",,"Reduce stimuli in room, monitor platelets, monitor cardiac fucntion, monitor blood pressure, monitor for priapism, monitor for serotonin syndrome (agiation, confudion, rapid HR, high BP, dilated pupils, twiching muscles and rigidity, diaphoresis, diarrhea)",
verapamil,,up to 180mg,,"antianginal agent, antiarrhthmic agent class IV, antihtn, Ca channel blocker","agina, afib, htn, supraventricular tachycardia",Inhibits calcium ion from entering the “slow channels” or select voltage-sensitive areas of vascular smooth muscle and myocardium during depolarization; produces relaxation of coronary vascular smooth muscle and coronary vasodilation; increases myocardial oxygen delivery in patients with vasospastic angina; slows automaticity and conduction of AV node.,"acute decompensated heart failure
bradyarrhthmias, hepatic effects","complicated MI, marked bradycardia, concurrent use of ivabradine or fibraserin","Check ordered labs and report any abnormalities. Monitor blood pressure, heart rate, rhythm, and ECG. IV infusions require an infusion pump and continuous cardiac and hemodynamic monitoring. Educate patient about limiting grapefruit juice while taking this medicine. Instruct patient to take extra care if drinking alcohol while taking this medicine.",
Vitamin B1 (thiamine),3000mg,250mg IV,,vitamin,"thiamine deficiency (including thiamine deficiency in pregnancy associated with neuropathy), beriberi (dry or wet variety), Wernicke encephalopathy, infantile beriberi with acute collapse, cardiovascular disease due to thiamine deficiency, or when giving IV dextrose to individuals with marginal thiamine",coenzyme in carbohydrate metabolism combines wiht ATP to form thiamine pyrophosphate,"flushing, redness, diaphoresus, pruruties, nausea, hemmorragge, anaphylaxis, weakeness, puilmonary edema",,,
Vitamin D cholecalciferol,2000 units,2000 units once daily,,vitamin D analog,"dietary vitamin d supplement, also osteoporosis prevention",cholecalciferol (vitD3 is a provitamin). the active metaoblite calcitriol stimualtes calcium and phosphate absorption from the small intesitne and promotes secertion of calcium from bone to blood. promotes renal tubule phosphate resorption.,,hypercalcemia,"vit D toxicity (confusing, psychosis, tremor, nausea, weakness)",
Zopiclone,,"Insomnia: Oral: Initial: 3.75 mg once daily at bedtime; may increase to 5 mg and then to 7.5 mg once daily if necessary (maximum: 7.5 mg/day)

Patients with chronic respiratory insufficiency: Oral: Initial: 3.75 mg once daily at bedtime; may increase as tolerated up to 7.5 mg once daily with caution if clinically indicated. Use is contraindicated in patients with severe respiratory function insufficiency.

Debilitated patients: Oral: Initial: 3.75 mg once daily at bedtime; may increase up to 5 mg daily if necessary (maximum: 5 mg/day)

Dosage adjustment for concomitant therapy:Significant drug interactions exist, requiring dose/frequency adjustment or avoidance. Consult drug interactions database for more information.",,"Hypnotic, Miscellaneous","Note: Not approved in the United States.

Insomnia: Short-term and symptomatic relief of insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings, and/or early morning awakenings (typically treatment should not exceed 7 to 10 consecutive days).","Zopiclone is a cyclopyrrolone derivative and has a pharmacological profile similar to benzodiazepines. Zopiclone reduces sleep latency, increases duration of sleep, and decreases the number of nocturnal awakenings.","Cardiovascular: Palpitations

Central nervous system: Aggressiveness behavior, anxiety, bitter taste, confusion, daytime sedation, depression, dizziness, drowsiness, dysgeusia, euphoria, hypotonia, intoxicated feeling, memory impairment, nervousness, speech disturbance

Dermatological: Diaphoresis

Gastrointestinal: Anorexia, constipation, coated tongue, halitosis, increased appetite, sialorrhea, xerostomia

Neuromuscular & skeletal: Asthenia, tremor","Hypersensitivity to zopiclone or any component of the formulation; severe respiratory impairment (eg, significant sleep apnea syndrome); myasthenia gravis; severe hepatic insufficiency; history of complex sleep behaviors after taking any nonbenzodiazepine sedative/hypnotic.",,
Zuclopenthixol DECANOATE,,"Acute psychosis:

Oral:

Acute psychosis: Initial: 10 to 50 mg/day in 2 to 3 divided doses; may titrate dose upward by 10 to 20 mg every 2 to 3 days; usual therapeutic range: 20 to 40 mg/day; maximum dose: 100 mg/day

Maintenance therapy: Maintain lowest effective dose; usual maintenance dose: 20 to 40 mg/day; may be given as a single dose

IM: Zuclopenthixol acetate: Usual dose: 50 to 150 mg; may be repeated in 2 to 3 days (some patients may require an additional dose 1 to 2 days after the initial dose and then repeat every 2 to 3 days as necessary); maximum: no more than 400 mg or 4 injections should be given in the course of treatment. Duration of treatment not to exceed 2 weeks.

Transfer of patients from IM acetate to oral tablets: Note: Allow 2 to 3 days after final injection before initiating oral therapy:

50 mg of acetate injection every 2 to 3 days = 20 mg daily of oral tablets

100 mg of acetate injection every 2 to 3 days = 40 mg daily of oral tablets

150 mg of acetate injection every 2 to 3 days = 60 mg daily of oral tablets",,First Generation (Typical) Antipsychotic,"Note: Not approved in the US

Schizophrenia: Management of schizophrenia; acetate injection is intended for short-term acute treatment (initial treatment for acute psychosis or exacerbation of psychosis associated with schizophrenia); decanoate injection is for long-term management; tablets may be used in either the initial or maintenance phase

","Zuclopenthixol is a thioxanthene antipsychotic with a piperazine side chain; related to fluphenazine, the cis(z)-clopenthixol is the active isomer of this neuroleptic; blocks postsynaptic dopaminergic (D1 and D2) brain receptors. Also has high affinity for 5-HT2 and alpha-1 adrenergic receptors, and a weaker affinity for histamine1-receptors.",">10%:

Central nervous system: Drowsiness (32%; injection 16% to 20%), hypertonia (19%; injection 5% to 26%), anxiety (17%; injection 4% to 9%), insomnia (16%; injection 5% to 10%), akathisia (14%; injection 13% to 16%), extrapyramidal reaction (13%; injection 1% to 12%), dizziness (11%; injection 7% to 21%), dystonia (5%; injection 7% to 14%)

Gastrointestinal: Xerostomia (15%; injection 13% to 25%)

Neuromuscular & skeletal: Tremor (19%; injection 8% to 21%), weakness (15%; injection 8% to 14%), hypokinesia (7%; injection 10% to 21%)

Ophthalmic: Accommodation disturbance (6%; injection 4% to 11%)","Hypersensitivity to zuclopenthixol, thioxanthenes, or any component of the formulation; acute intoxication (ethanol, barbiturate, or opioid); CNS depression; coma; suspected or established subcortical brain damage; circulatory collapse",,
